,content,id,lat,location,lon,time,user,user_id
87,me holding you @littlebrojaay https://t.co/RRV9E2Mt7n,970829728063066112,,"Boston, MA",,2018-03-06 01:13:38,moonlitsarah,836545914
873,RT @OmggRhi: I’m a mess https://t.co/yzhYWelx5E,970829008500912128,,"Boston, MA",,2018-03-06 01:10:47,OmggRhi,2216850999
875,Dreams really do come true boys and girls,970829006743404544,,"Boston, MA",,2018-03-06 01:10:46,hAMBERgerr,292375307
882,"""I'm a 'beauty expert' and he's an amateur race car driver, our budget is $325,000""

Nope, not even a joke, a real real estate show",970828998086463488,,"Boston, MA",,2018-03-06 01:10:44,kenjimallon,15147906
883,"RT @OmggRhi: Photoshoots, concerts, meet &amp; greets, I cry, I think of scenarios that would never happen, ted talks... all in the span of 45…",970828997327286272,,"Boston, MA",,2018-03-06 01:10:44,OmggRhi,2216850999
884,@SYR_FAUX This is something else,970828992092758016,,"Boston, MA",,2018-03-06 01:10:43,Iheartnoise,15273924
885,"@kciccolini Oooh. I would suggest- hotel lobbies. Mandarin oriental, Sheraton (downstairs), marriott’s computery ar… https://t.co/NCM72bBPky",970828991757193216,,"Boston, MA",,2018-03-06 01:10:43,megansarahj,15089443
886,"""..this chat line thing, this online interneting...""",970828991702724608,,"Boston, MA",,2018-03-06 01:10:43,fortunatoferro,285791392
887,everyone I do right does me wrong,970828991656546304,,"Boston, MA",,2018-03-06 01:10:43,ayyyjanaynay,2198409815
889,"""Orange Peeler (Make-Out Version)"" by Horse Jumper of Love (from Demo Anthology). Listen live: https://t.co/iw0NYFUvdc",970828990821826560,,"Boston, MA",,2018-03-06 01:10:43,RadioBDCMusic,960847416
895,RT @BryanneBaye: Check out this @mendix session at IBM Think: Build Low-Code Mobile Apps with IBM Cloud and Mendix https://t.co/5XDGp0SjYh…,970828985251790848,,"Boston, MA",,2018-03-06 01:10:41,slacknamara,915600873560174592
896,Would like to thank biology for giving me my period this week so I have yet another excuse to not start going to the gym again,970828984866033664,,"Boston, MA",,2018-03-06 01:10:41,mackenzievs88,548672633
90,Fairfield can’t get into the paint and Iona has great perimeter defense. Stags on the ropes right now. We’ll see wh… https://t.co/YL7UmP0Ve0,970829725055750144,,"Boston, MA",,2018-03-06 01:13:38,Box_of_Joe,307903888
904,@achilliker Thanks girlie! I totally will! We got this together!,970828979635740672,,"Boston, MA",,2018-03-06 01:10:40,helloitsdanie,21468741
905,@Samierra_Andrea You’re welcome. Speedy recovery!!,970828979581091840,,"Boston, MA",,2018-03-06 01:10:40,kms167,35045485
906,@SenSchumer Stop your lying.  An offer of path to citizenship for 1.8M sounds like a start.  Do your job instead of… https://t.co/gaepVr46wl,970828978595430400,,"Boston, MA",,2018-03-06 01:10:40,SnoopaDo,779457475925905408
907,Listen to Gwen Stefani - Cool (Photek Remix) by CsTt #np on #SoundCloud @lazzy_otter 😉😜 https://t.co/GfNVqhqGk6,970828977135869952,,"Boston, MA",,2018-03-06 01:10:39,jrosejunior1975,878661462780243968
911,"In Each Day, There Is Something Good That Happens. Even If You Do Not See It At First.

To discover more, visit… https://t.co/G4U1SAmZiO",970828972517814272,,"Boston, MA",,2018-03-06 01:10:38,MeetMattFraser,437709799
914,"Are we sure that Lauren is over her ex? Because she brings him up, A LOT. #TheBachelor #BachelorNation",970828971096051712,,"Boston, MA",,2018-03-06 01:10:38,Shigg2,2365709358
915,Stephanie McMahon Looking Beautiful In Gray Top Gray Pants Brown Boots @StephMcMahon #RAWMilwaukee,970828966134255616,,"Boston, MA",,2018-03-06 01:10:37,TheJonathanWard,154799585
916,Construction worker injured in Fitchburg https://t.co/ruewemidcq #7News,970828965710528512,,"Boston, MA",,2018-03-06 01:10:37,7News,16558796
918,"RT @OmggRhi: When you don’t know how to play LOL, watch the stick spin😂😂😂😂 I’m dumb as shit https://t.co/1zwttdeJ0H",970828964053835776,,"Boston, MA",,2018-03-06 01:10:36,OmggRhi,2216850999
920,"No one expects to die young, but you can disaster-proof your affairs https://t.co/n5XSHLAw2y via @WSJ",970828963428827136,,"Boston, MA",,2018-03-06 01:10:36,hacker_alisa,3027398182
924,@jeffsoto I'm a skilled &amp; experienced graphic designer. Check out my professional samples and DM to discuss the wor… https://t.co/Z5lm21LkEO,970828957229740032,,"Boston, MA",,2018-03-06 01:10:35,aMortalArtist,309489447
926,"@EdKrassen @bullitt76 That's like comparing apples with watermelons....a totally different people, mindset, morals,… https://t.co/kJ8VIpOGXd",970828956487356416,,"Boston, MA",,2018-03-06 01:10:35,GreggBoyd7,900907977980485632
927,I think my Mom likes this show better than me!  ❤️ #thebachelor #arieluyendykjr https://t.co/huoLktu3bU,970828955933691904,,"Boston, MA",,2018-03-06 01:10:34,sebochnak,3001616707
928,"COMEÇOU!!!
LET'S GO CELTICS",970828955556171776,,"Boston, MA",,2018-03-06 01:10:34,BostonSportsBR,733572684
